Wavelength(nm)	n	k
4.25000e+03	3.46986e+00	4.77100e-07
4.26000e+03	3.46986e+00	4.80900e-07
4.27000e+03	3.46986e+00	4.84800e-07
4.28000e+03	3.46985e+00	4.88700e-07
4.29000e+03	3.46985e+00	4.92600e-07
4.30000e+03	3.46985e+00	4.96600e-07
4.31000e+03	3.46985e+00	5.00600e-07
4.32000e+03	3.46985e+00	5.04600e-07
4.33000e+03	3.46985e+00	5.08600e-07
4.34000e+03	3.46985e+00	5.12700e-07
4.35000e+03	3.46985e+00	5.16800e-07
4.36000e+03	3.46985e+00	5.20900e-07
4.37000e+03	3.46985e+00	5.25000e-07
4.38000e+03	3.46985e+00	5.29200e-07
4.39000e+03	3.46985e+00	5.33400e-07
4.40000e+03	3.46985e+00	5.37600e-07
4.41000e+03	3.46985e+00	5.41800e-07
4.42000e+03	3.46985e+00	5.46100e-07
4.43000e+03	3.46985e+00	5.50400e-07
4.44000e+03	3.46985e+00	5.54700e-07
4.45000e+03	3.46985e+00	5.59100e-07
4.46000e+03	3.46985e+00	5.63500e-07
4.47000e+03	3.46985e+00	5.67900e-07
4.48000e+03	3.46985e+00	5.72300e-07
4.49000e+03	3.46985e+00	5.76800e-07
4.50000e+03	3.46985e+00	5.81200e-07
4.51000e+03	3.46985e+00	5.85800e-07
4.52000e+03	3.46985e+00	5.90300e-07
4.53000e+03	3.46985e+00	5.94900e-07
4.54000e+03	3.46985e+00	5.99500e-07
4.55000e+03	3.46985e+00	6.04100e-07
4.56000e+03	3.46985e+00	6.08800e-07
4.57000e+03	3.46985e+00	6.13500e-07
4.58000e+03	3.46985e+00	6.18200e-07
4.59000e+03	3.46985e+00	6.23000e-07
4.60000e+03	3.46985e+00	6.27700e-07
4.61000e+03	3.46985e+00	6.32600e-07
4.62000e+03	3.46985e+00	6.37400e-07
4.63000e+03	3.46985e+00	6.42300e-07
4.64000e+03	3.46985e+00	6.47200e-07
4.65000e+03	3.46985e+00	6.52100e-07
4.66000e+03	3.46985e+00	6.57100e-07
4.67000e+03	3.46985e+00	6.62100e-07
4.68000e+03	3.46985e+00	6.67100e-07
4.69000e+03	3.46985e+00	6.72200e-07
4.70000e+03	3.46985e+00	6.77300e-07
4.71000e+03	3.46985e+00	6.82400e-07
4.72000e+03	3.46985e+00	6.87500e-07
4.73000e+03	3.46985e+00	6.92700e-07
4.74000e+03	3.46985e+00	6.97900e-07
4.75000e+03	3.46985e+00	7.03200e-07
4.76000e+03	3.46985e+00	7.08500e-07
4.77000e+03	3.46985e+00	7.13800e-07
4.78000e+03	3.46985e+00	7.19100e-07
4.79000e+03	3.46985e+00	7.24500e-07
4.80000e+03	3.46985e+00	7.29900e-07
4.81000e+03	3.46985e+00	7.35400e-07
4.82000e+03	3.46985e+00	7.40900e-07
4.83000e+03	3.46985e+00	7.46400e-07
